CTYNAME,County,POP
Adams County,Adams,27706
Allen County,Allen,101603
Ashland County,Ashland,53040
Ashtabula County,Ashtabula,96549
Athens County,Athens,64943
Auglaize County,Auglaize,45496
Belmont County,Belmont,65952
Brown County,Brown,43156
Butler County,Butler,385402
Carroll County,Carroll,26578
Champaign County,Champaign,39085
Clark County,Clark,133193
Clermont County,Clermont,208232
Clinton County,Clinton,41734
Columbiana County,Columbiana,100703
Coshocton County,Coshocton,36608
Crawford County,Crawford,41514
Cuyahoga County,Cuyahoga,1221780
Darke County,Darke,50741
Defiance County,Defiance,38083
Delaware County,Delaware,217349
Erie County,Erie,73772
Fairfield County,Fairfield,160758
Fayette County,Fayette,28269
Franklin County,Franklin,1334870
Fulton County,Fulton,41844
Gallia County,Gallia,29804
Geauga County,Geauga,93057
Greene County,Greene,171919
Guernsey County,Guernsey,38603
Hamilton County,Hamilton,821529
Hancock County,Hancock,75509
Hardin County,Hardin,31259
Harrison County,Harrison,14786
Henry County,Henry,26836
Highland County,Highland,43379
Hocking County,Hocking,28078
Holmes County,Holmes,44042
Huron County,Huron,58070
Jackson County,Jackson,32507
Jefferson County,Jefferson,64427
Knox County,Knox,63166
Lake County,Lake,230243
Lawrence County,Lawrence,58855
Licking County,Licking,179254
Logan County,Logan,46352
Lorain County,Lorain,311395
Lucas County,Lucas,425820
Madison County,Madison,45415
Mahoning County,Mahoning,227617
Marion County,Marion,64425
Medina County,Medina,181282
Meigs County,Meigs,22593
Mercer County,Mercer,41612
Miami County,Miami,108877
Monroe County,Monroe,13388
Montgomery County,Montgomery,531861
Morgan County,Morgan,14362
Morrow County,Morrow,35758
Muskingum County,Muskingum,86383
Noble County,Noble,14578
Ottawa County,Ottawa,40037
Paulding County,Paulding,18532
Perry County,Perry,36324
Pickaway County,Pickaway,59217
Pike County,Pike,27452
Portage County,Portage,162394
Preble County,Preble,40624
Putnam County,Putnam,33979
Richland County,Richland,121488
Ross County,Ross,76230
Sandusky County,Sandusky,58074
Scioto County,Scioto,74982
Seneca County,Seneca,55146
Shelby County,Shelby,48526
Stark County,Stark,369322
Summit County,Summit,540333
Trumbull County,Trumbull,196844
Tuscarawas County,Tuscarawas,91803
Union County,Union,61400
Van Wert County,Van Wert,28319
Vinton County,Vinton,12965
Warren County,Warren,239916
Washington County,Washington,59511
Wayne County,Wayne,115550
Williams County,Williams,36598
Wood County,Wood,131569
Wyandot County,Wyandot,21480
,,
,,11714616
